path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label
data\raw\public_v9\echoes_fma_paired\real\fma_106336.mp3,0,0,0,0,1,fma_artist_10484,Echoes::FMA_original,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_106336,echoes_fma::106336,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,80f7dffb4849fc1f179391ff0dec8d0734420bf6b0b28fb10baa4dd92bc6a134,echoes_fma::106336,train,TTA,real
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_elevenlabs_TTA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::elevenlabs,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,57b269a680607ec15469820841be4a658d894b7f7b4e24ffe0e476d39dfc3c9d,echoes_fma::107429,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_mubert_TTA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::mubert,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,bd5357cf82280e77510772597d860639101adad3a05e895f59c6627e4e27e3d0,echoes_fma::107429,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_musicgen_ATA_001.wav,1,0,1,0,1,fma_artist_18761,Echoes::musicgen,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,adc22347607bd37437c26d15411bb3ff41bd174385096f5d5d0f94e47f0daa71,echoes_fma::107429,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_producer_ATA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::producer,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,35f86dca1b8db17ead7a4cc47d2db8c448102f20029f76964fdcc7f01fb62ded,echoes_fma::107429,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_stableaudio_TTA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::stableaudio,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,145c1c4bab94d127471a3c0674867ffd29242195c81c887d1957cda1847afd9a,echoes_fma::107429,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_suno_TTA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::suno,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,d49311e2f90c10e25e177025d7fbcb20b208288138664502962178035b872883,echoes_fma::107429,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\CopperNickle_UncleBibby_udio_TTA_001.mp3,1,0,1,0,1,fma_artist_18761,Echoes::udio,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_107429,echoes_fma::107429,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,0ee2a2eb82792814dc9c66f68d2acc33b3153502f68bf9c950d9ac96dd5aa0a3,echoes_fma::107429,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\real\fma_112315.mp3,0,0,0,0,1,fma_artist_11018,Echoes::FMA_original,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,fdc89dbd163e7d62db1224497de74282c477fe263852df26b0b360b81d626d8b,echoes_fma::112315,train,TTA,real
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_acestep_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::acestep,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,c6c145fedff52eecf13f2fa2728b5bff237107f2839cc9284b04fb5619b8e73c,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_audioldm_ATA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::audioldm,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,6daadd14d5b32c2584826de80a9f162e261e1bb05ccd9c094ee287204b3a9274,echoes_fma::112315,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_brev_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::brev,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,e4eca1af238c943e4576a07566820aa9e606d2d54ae349407903a1510e2095e3,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_elevenlabs_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::elevenlabs,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,3d877c31e73cd261b5483364278e75287dc0aa9bc2915ff2af05072794d09bb6,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_mubert_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::mubert,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,8e041142e5317e76462aee51a652214b81d1e6ca2e1b96da1f1136b82d9bcd15,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_musicgen_ATA_001.wav,1,0,1,0,1,fma_artist_11018,Echoes::musicgen,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,063011ba240a51f17b9268b57d5a58ecc7f18f9df0104b9f0c826be6c629ca2c,echoes_fma::112315,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_producer_ATA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::producer,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,60261a2201934ad064ea40438d1e29e541e82379f2f9015c4fb36ce14b3ea4f7,echoes_fma::112315,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_stableaudio_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::stableaudio,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,5096562d81824ece5eb6ff0b187a3a948f4407a60cde1bfea895443059bdae80,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_suno_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::suno,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,1a11b7dde82ad056d589fc42c7e190d70492d8c15aab0220f13c81e020d1a8c8,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_udio_TTA_001.mp3,1,0,1,0,1,fma_artist_11018,Echoes::udio,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_112315,echoes_fma::112315,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,2ab66dfb41c91c012e522ebf0e3e5d5ad2acf75cd0667faeaf17941318a81809,echoes_fma::112315,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\real\fma_114004.mp3,0,0,0,0,1,fma_artist_10397,Echoes::FMA_original,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_114004,echoes_fma::114004,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,e931cf91a17e1f4f3e4df72c3a85b9d3b00c07152fecd157b48f1c37448a9f96,echoes_fma::114004,train,TTA,real
data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_acestep_TTA_001.mp3,1,0,1,0,1,fma_artist_10397,Echoes::acestep,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_114004,echoes_fma::114004,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,4d361bc064ba5c6d4b29b61a2d7e1fbbc2db18ddc21ea440001b7f8b3aea38b0,echoes_fma::114004,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_audioldm_ATA_001.mp3,1,0,1,0,1,fma_artist_10397,Echoes::audioldm,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_114004,echoes_fma::114004,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,dbb097859092583953487d1d65a7e08939f555bcd0e6a68857f9ccb8ac265156,echoes_fma::114004,train,ATA,fake
data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_brev_TTA_001.mp3,1,0,1,0,1,fma_artist_10397,Echoes::brev,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_114004,echoes_fma::114004,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,3850209a61fd8257c6317b315200257084eb7442e850a28d63e9fac639464ff8,echoes_fma::114004,train,TTA,fake
data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_elevenlabs_TTA_001.mp3,1,0,1,0,1,fma_artist_10397,Echoes::elevenlabs,echoes_fma_paired,echoes_fma_paired,Octavian97/Echoes + official FMA,fma_114004,echoes_fma::114004,https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/,YES,FOLLOW_CC_ATTRIBUTION_AND_SHAREALIKE,FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,Echoes-FMA-paired,9f7857ff4e779caedb83eced985040fb375f8b35fd31ffb84548766f3143915e,echoes_fma::114004,train,TTA,fake
