path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,base_voice_id,base_music_id,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction,mix_snr_db
data/generated_v8/audio/train/voice/proc_voice_train_00003__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_33,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00003,proc::voice::train::00003,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,23a94d2e2ea9b2b35e38904b5d5a764d3a586fc06d15f550e34ca37b5832eae0,proc::voice::train::00003,b60c5c7a01df991b005ebd6f29a67091b98f844727e938ecd0dbe2a756b6973e,23684911,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,3.828000,16000,0.90279233,0.32041379,-0.00001828,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00003__codec_phase.wav,1,1,0,1,0,proc_train_speaker_33,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00003,proc::voice::train::00003,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,23a94d2e2ea9b2b35e38904b5d5a764d3a586fc06d15f550e34ca37b5832eae0,proc::voice::train::00003,a229ff8d15eeb1e85c8b31502c4f197cab812f1799aa5d313439ccf216c56d1a,23684911,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,3.828000,16000,0.72517359,0.24884156,-0.00000732,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00004__additive_formant.wav,1,1,0,1,0,proc_train_speaker_34,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00004,proc::voice::train::00004,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,0c42a31a516e45b441bd8f24e81756c3611dc29b51fdade6f62701e17d450c10,proc::voice::train::00004,7f543ac877fb1795800259702880ab4e79f38215475d77f8347ffb5e9201051c,23684912,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,3.440000,16000,0.72780037,0.15950635,-0.00001406,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00004__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_34,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00004,proc::voice::train::00004,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,0c42a31a516e45b441bd8f24e81756c3611dc29b51fdade6f62701e17d450c10,proc::voice::train::00004,5d917d9edc19bf9a0f38a4a1914c2926c1c268c382602fdc0ec376c5e08f1b43,23684912,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,3.440000,16000,0.79823112,0.24255565,-0.00001492,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00004__codec_phase.wav,1,1,0,1,0,proc_train_speaker_34,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00004,proc::voice::train::00004,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,0c42a31a516e45b441bd8f24e81756c3611dc29b51fdade6f62701e17d450c10,proc::voice::train::00004,374de67ac6e812d183cf0331e7ba93a4c900e66d6186c421634cb753637732d2,23684912,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,3.440000,16000,0.85729694,0.24568295,-0.00001043,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00005__additive_formant.wav,1,1,0,1,0,proc_train_speaker_35,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00005,proc::voice::train::00005,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,605e1986dad122b3c439fc960c64b636e9854521e959731d6da7fe910e99ea04,proc::voice::train::00005,8fc509d54b746204b61c85370f090c9a3d9376f80673067d7a111c94ffce9090,23684913,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,6.272000,16000,0.78862262,0.18671597,0.00000182,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00005__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_35,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00005,proc::voice::train::00005,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,605e1986dad122b3c439fc960c64b636e9854521e959731d6da7fe910e99ea04,proc::voice::train::00005,ba696964d064880e7784c6670e39a11c5aa13d4107d6d7ba29b6a9fb90326e1c,23684913,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,6.272000,16000,0.79776108,0.26601966,-0.00001280,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00005__codec_phase.wav,1,1,0,1,0,proc_train_speaker_35,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00005,proc::voice::train::00005,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,605e1986dad122b3c439fc960c64b636e9854521e959731d6da7fe910e99ea04,proc::voice::train::00005,f72fbe6008b6ba210fff2071a91897fadcf9cd92503774654277d2733ac09360,23684913,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,6.272000,16000,0.91282123,0.26067592,0.00000142,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00006__additive_formant.wav,1,1,0,1,0,proc_train_speaker_36,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00006,proc::voice::train::00006,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,53550f65653498b287004f21ebf6c5f159982f469a0aa77c5f83a7bdb47de851,proc::voice::train::00006,70c1f33cd2dc7c08fd50309b4b482cafb337b7d1679924c0d25413abe4302a7a,23684914,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,7.131000,16000,0.88266093,0.16106926,-0.00000016,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00006__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_36,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00006,proc::voice::train::00006,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,53550f65653498b287004f21ebf6c5f159982f469a0aa77c5f83a7bdb47de851,proc::voice::train::00006,3f8f40800979922c4d9e88ed8ea23b69474ac8af8b6361ca9144e9345a7944b1,23684914,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,7.131000,16000,0.80181015,0.23460973,-0.00000575,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00006__codec_phase.wav,1,1,0,1,0,proc_train_speaker_36,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00006,proc::voice::train::00006,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,53550f65653498b287004f21ebf6c5f159982f469a0aa77c5f83a7bdb47de851,proc::voice::train::00006,bf92c4d8f80906211a6a5f80ee134a77c0a49c0004cd571ad200805ae2455b55,23684914,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,7.131000,16000,0.90588093,0.25725278,-0.00000246,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00007__additive_formant.wav,1,1,0,1,0,proc_train_speaker_37,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00007,proc::voice::train::00007,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,51c3bab4d16a179bde55644e7d5949c19a4f121c2778dec908c204ae2ca9c111,proc::voice::train::00007,58eadbbcf8bb65d225d55729f3f9c0c216a3cbb2b6370042853f2310f60231c5,23684915,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,5.944000,16000,0.80728573,0.17482259,-0.00000598,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00007__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_37,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00007,proc::voice::train::00007,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,51c3bab4d16a179bde55644e7d5949c19a4f121c2778dec908c204ae2ca9c111,proc::voice::train::00007,b0f1e614b972ed520a63c9d799f1d1ef366736b3f167468471a2f6c90f03ebee,23684915,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,5.944000,16000,0.81632614,0.25826497,-0.00000823,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00007__codec_phase.wav,1,1,0,1,0,proc_train_speaker_37,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00007,proc::voice::train::00007,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,51c3bab4d16a179bde55644e7d5949c19a4f121c2778dec908c204ae2ca9c111,proc::voice::train::00007,ad4479cef01f5130dcc65f1454788bd33c2eb77fdaf317fe15de0b679ffcbd39,23684915,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,5.944000,16000,0.73721915,0.22792687,0.00000921,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00008__additive_formant.wav,1,1,0,1,0,proc_train_speaker_38,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00008,proc::voice::train::00008,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,4199ab6dfe9f3cd199d4cfc06ebca006d958df750b19a7081423c4f3c2bad1e6,proc::voice::train::00008,11ae54777dc474f829581a02f54080cb6e0dd72af229f4d95899878e6b0a20e0,23684916,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,4.817000,16000,0.89471072,0.16442220,-0.00000321,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00008__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_38,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00008,proc::voice::train::00008,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,4199ab6dfe9f3cd199d4cfc06ebca006d958df750b19a7081423c4f3c2bad1e6,proc::voice::train::00008,34ebb602d8e8b8de385944a1f9796a3afa62463759c06ea4f4167d07dd6fe983,23684916,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,4.817000,16000,0.90557444,0.24056549,-0.00001210,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00008__codec_phase.wav,1,1,0,1,0,proc_train_speaker_38,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00008,proc::voice::train::00008,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,4199ab6dfe9f3cd199d4cfc06ebca006d958df750b19a7081423c4f3c2bad1e6,proc::voice::train::00008,2aafc3d3fcac2dd418f56b72bedceb17d4f56cee2e7aa3acf06ce3620f579456,23684916,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,4.817000,16000,0.74805319,0.17965704,-0.00000217,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00009__additive_formant.wav,1,1,0,1,0,proc_train_speaker_39,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00009,proc::voice::train::00009,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,b401d6a0f86dee2a1e166c0162aa5a68f59f506411c4189959bf5fae6735381a,proc::voice::train::00009,eacbb83029594e2147b8e801e1502270973c22dce3e86d00f936086336d7de9d,23684917,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,4.612000,16000,0.80081218,0.16402837,-0.00000052,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00009__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_39,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00009,proc::voice::train::00009,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,b401d6a0f86dee2a1e166c0162aa5a68f59f506411c4189959bf5fae6735381a,proc::voice::train::00009,3e9b3fed3734e0958163600d7a897f6dd10e00974df85889fc19790a8ef3c878,23684917,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,4.612000,16000,0.75681305,0.23731780,-0.00001308,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00009__codec_phase.wav,1,1,0,1,0,proc_train_speaker_39,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00009,proc::voice::train::00009,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,b401d6a0f86dee2a1e166c0162aa5a68f59f506411c4189959bf5fae6735381a,proc::voice::train::00009,621a358ecf8f400a82ee073290b00b54a29841972ef0a852ebaf254c210a105c,23684917,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,4.612000,16000,0.89719152,0.27800064,-0.00001270,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00010__additive_formant.wav,1,1,0,1,0,proc_train_speaker_40,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00010,proc::voice::train::00010,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,c9dce95600539e6410953db22528a8503093c39f920a6d3cb9cebf057329c460,proc::voice::train::00010,37e103e1e8a5963d6e74b0582dc8dbbe80db0d26fe8abf1c15ce725c92eff4d2,23684918,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,3.650000,16000,0.79612619,0.21242200,-0.00000024,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00010__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_40,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00010,proc::voice::train::00010,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,c9dce95600539e6410953db22528a8503093c39f920a6d3cb9cebf057329c460,proc::voice::train::00010,53d6c8d0f4681fd5fb5ce07100a0f7b1e2d5c266c208cbb91e7d6acbdecc4fec,23684918,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,3.650000,16000,0.79910564,0.26555318,-0.00001372,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00010__codec_phase.wav,1,1,0,1,0,proc_train_speaker_40,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00010,proc::voice::train::00010,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,c9dce95600539e6410953db22528a8503093c39f920a6d3cb9cebf057329c460,proc::voice::train::00010,33fa04d52a19b16ab17c6daabdec06a10b19b24768859b07980cce4e0a6ae0df,23684918,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,3.650000,16000,0.76438332,0.20410045,-0.00000056,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00011__additive_formant.wav,1,1,0,1,0,proc_train_speaker_41,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00011,proc::voice::train::00011,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,75939ac400936a9dfa3ace71dd15d95b6bc9966ca84e2e0c3b52ac9699621255,proc::voice::train::00011,2390f0ce12e76997bf0433cee594bee81b79794fcf38fc4b60d5697490ea5ea4,23684919,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,5.776000,16000,0.74950922,0.21618273,0.00000124,0.00000000,
