path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,calibration_fold,augment,data_role
data/raw/gtzan_unique_v2/reggae.00013.wav,0,0,0,0,1,gtzan_8_reggae.00013,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00013,gtzan::gtzan_v2_reggae.00013,,gtzan::gtzan_v2_reggae.00013,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00017.wav,0,0,0,0,1,gtzan_8_reggae.00017,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00017,gtzan::gtzan_v2_reggae.00017,,gtzan::gtzan_v2_reggae.00017,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00019.wav,0,0,0,0,1,gtzan_8_reggae.00019,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00019,gtzan::gtzan_v2_reggae.00019,,gtzan::gtzan_v2_reggae.00019,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00040.wav,0,0,0,0,1,gtzan_8_reggae.00040,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00040,gtzan::gtzan_v2_reggae.00040,,gtzan::gtzan_v2_reggae.00040,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00069.wav,0,0,0,0,1,gtzan_8_reggae.00069,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00069,gtzan::gtzan_v2_reggae.00069,,gtzan::gtzan_v2_reggae.00069,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00070.wav,0,0,0,0,1,gtzan_8_reggae.00070,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00070,gtzan::gtzan_v2_reggae.00070,,gtzan::gtzan_v2_reggae.00070,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00080.wav,0,0,0,0,1,gtzan_8_reggae.00080,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00080,gtzan::gtzan_v2_reggae.00080,,gtzan::gtzan_v2_reggae.00080,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/rock.00008.wav,0,0,0,0,1,gtzan_9_rock.00008,GTZAN_genre_9,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_rock.00008,gtzan::gtzan_v2_rock.00008,,gtzan::gtzan_v2_rock.00008,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/rock.00015.wav,0,0,0,0,1,gtzan_9_rock.00015,GTZAN_genre_9,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_rock.00015,gtzan::gtzan_v2_rock.00015,,gtzan::gtzan_v2_rock.00015,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/rock.00061.wav,0,0,0,0,1,gtzan_9_rock.00061,GTZAN_genre_9,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_rock.00061,gtzan::gtzan_v2_rock.00061,,gtzan::gtzan_v2_rock.00061,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/rock.00076.wav,0,0,0,0,1,gtzan_9_rock.00076,GTZAN_genre_9,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_rock.00076,gtzan::gtzan_v2_rock.00076,,gtzan::gtzan_v2_rock.00076,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0320.wav,1,1,0,1,0,wavefake_bf8f4f,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ019-0320,wavefake::LJ019-0320,wavefake::LJ019-0320,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043.wav,1,1,0,1,0,wavefake_43bbb3,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0043,wavefake::LJ017-0043,wavefake::LJ017-0043,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0369.wav,1,1,0,1,0,wavefake_4f54ef,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ028-0369,wavefake::LJ028-0369,wavefake::LJ028-0369,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ044-0100.wav,1,1,0,1,0,wavefake_68e1c6,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ044-0100,wavefake::LJ044-0100,wavefake::LJ044-0100,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ042-0239.wav,1,1,0,1,0,wavefake_4f51d0,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ042-0239,wavefake::LJ042-0239,wavefake::LJ042-0239,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043_WF3_1.wav,1,1,0,1,0,wavefake_43bbb3,WF3,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0043,wavefake::LJ017-0043,wavefake::LJ017-0043,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ044-0100_WF7_1.wav,1,1,0,1,0,wavefake_68e1c6,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ044-0100,wavefake::LJ044-0100,wavefake::LJ044-0100,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0190.wav,1,1,0,1,0,wavefake_dc9112,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ050-0190,wavefake::LJ050-0190,wavefake::LJ050-0190,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043_WF7_2.wav,1,1,0,1,0,wavefake_43bbb3,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0043,wavefake::LJ017-0043,wavefake::LJ017-0043,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ007-0200.wav,1,1,0,1,0,wavefake_b47429,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ007-0200,wavefake::LJ007-0200,wavefake::LJ007-0200,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0320_WF2_1.wav,1,1,0,1,0,wavefake_bf8f4f,WF2,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ019-0320,wavefake::LJ019-0320,wavefake::LJ019-0320,,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0003.wav,1,0,1,0,1,fake_music_AudioLDM2_0,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0003,generated_music::fake_music_generator_0003,,generated_music::fake_music_generator_0003,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0011.wav,1,0,1,0,1,fake_music_AudioLDM2_1,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0011,generated_music::fake_music_generator_0011,,generated_music::fake_music_generator_0011,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0043.wav,1,0,1,0,1,fake_music_AudioLDM2_4,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0043,generated_music::fake_music_generator_0043,,generated_music::fake_music_generator_0043,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0089.wav,1,0,1,0,1,fake_music_AudioLDM2_8,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0089,generated_music::fake_music_generator_0089,,generated_music::fake_music_generator_0089,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0095.wav,1,0,1,0,1,fake_music_AudioLDM2_9,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0095,generated_music::fake_music_generator_0095,,generated_music::fake_music_generator_0095,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0103.wav,1,0,1,0,1,fake_music_AudioLDM2_10,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0103,generated_music::fake_music_generator_0103,,generated_music::fake_music_generator_0103,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0107.wav,1,0,1,0,1,fake_music_AudioLDM2_10,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0107,generated_music::fake_music_generator_0107,,generated_music::fake_music_generator_0107,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0147.wav,1,0,1,0,1,fake_music_AudioLDM2_14,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0147,generated_music::fake_music_generator_0147,,generated_music::fake_music_generator_0147,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0167.wav,1,0,1,0,1,fake_music_AudioLDM2_16,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0167,generated_music::fake_music_generator_0167,,generated_music::fake_music_generator_0167,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0223.wav,1,0,1,0,1,fake_music_AudioLDM2_22,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0223,generated_music::fake_music_generator_0223,,generated_music::fake_music_generator_0223,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0235.wav,1,0,1,0,1,fake_music_AudioLDM2_23,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0235,generated_music::fake_music_generator_0235,,generated_music::fake_music_generator_0235,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_AudioLDM2_0289.wav,1,0,1,0,1,fake_music_AudioLDM2_28,AudioLDM2,fake_music_generated,fake_music_generated,synth/AudioLDM2,fake_music_AudioLDM2_0289,generated_music::fake_music_generator_0289,,generated_music::fake_music_generator_0289,,,,,,,,cal_a,none,fusion_calibration
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/jazz.00091.wav,0,0,0,1,1,mix::wavefake_30b298::gtzan_5_jazz.00091,mix::R::GTZAN_genre_5,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ015-0100::gtzan_v2_jazz.00091::00::0,mix::wavefake::LJ015-0100::gtzan::gtzan_v2_jazz.00091,wavefake::LJ015-0100,gtzan::gtzan_v2_jazz.00091,simultaneous,-15.0,0.1,0.0,0.05,-6.0,-3.0,cal_a,none,fusion_calibration
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/pop.00019.wav,0,0,0,1,1,mix::wavefake_30b298::gtzan_7_pop.00019,mix::R::GTZAN_genre_7,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ015-0100::gtzan_v2_pop.00019::00::1,mix::wavefake::LJ015-0100::gtzan::gtzan_v2_pop.00019,wavefake::LJ015-0100,gtzan::gtzan_v2_pop.00019,voice_then_music,-10.0,0.25,0.1,0.1,-3.0,0.0,cal_a,none,fusion_calibration
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/pop.00017.wav,0,0,0,1,1,mix::wavefake_30b298::gtzan_7_pop.00017,mix::R::GTZAN_genre_7,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ015-0100::gtzan_v2_pop.00017::00::2,mix::wavefake::LJ015-0100::gtzan::gtzan_v2_pop.00017,wavefake::LJ015-0100,gtzan::gtzan_v2_pop.00017,music_then_voice,-5.0,0.5,0.5,0.25,0.0,3.0,cal_a,none,fusion_calibration
