path,sha256,source,license,generator,split_group_id,training_role
C:\Users\lLrich\ai_voice_data_v12\files\01372eca2815488ffdf59ab53ced3f13db9779bf67056beb64b2356b378d69d8.wav,01372eca2815488ffdf59ab53ced3f13db9779bf67056beb64b2356b378d69d8,gtzan_real_v2,unknown,GTZAN_genre_5,gtzan_near::3c73797f811344fb6698,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\013756b38518d513f37437c221e1dfb326f7f57b0f0d4ce48413d019c5072085.flac,013756b38518d513f37437c221e1dfb326f7f57b0f0d4ce48413d019c5072085,asvspoof2019,unknown,A01,asvspoof::LA_0088,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\01b658099b7080038223bca36eb7a6c0a8f04b6ce22b6037db8a0024ef2b4c2e.mp3,01b658099b7080038223bca36eb7a6c0a8f04b6ce22b6037db8a0024ef2b4c2e,mtg_jamendo_cc,http://creativecommons.org/licenses/by-nc-sa/3.0/,mtg_jamendo_cc::real,jamendo::artist::f17a80261e9befaa,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\01c8fe7cf220d70b7e4e70e494bc5f595974873797e934ecbd3f27131f8949fd.flac,01c8fe7cf220d70b7e4e70e494bc5f595974873797e934ecbd3f27131f8949fd,asvspoof2019,unknown,A01,asvspoof::LA_0090,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\01dd9b1f96c738ab25ff63dc3e24861cd04ed2d219c212f12ddf2f8c075ea82c.wav,01dd9b1f96c738ab25ff63dc3e24861cd04ed2d219c212f12ddf2f8c075ea82c,mlaad_tiny_matched,CC BY-NC 4.0,MLAAD::FishTTS,mlaad_tiny::en::emerald_city_of_oz_29_f000003,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\01efb46665b838123aa0cab28dcebab7702dbdce72966c72f3f89c9bb024c3c5.wav,01efb46665b838123aa0cab28dcebab7702dbdce72966c72f3f89c9bb024c3c5,gtzan_real_v2,unknown,GTZAN_genre_4,gtzan::gtzan_v2_hiphop.00059,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\025d4bef47e0dc534f69880a24cd1a1af7852bcbbcfafcc670369887bda6e593.mp3,025d4bef47e0dc534f69880a24cd1a1af7852bcbbcfafcc670369887bda6e593,sonics_official,CC BY-NC 4.0,SONICS::chirp-v3,sonics::9280,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02815ebf8486d2789f13c835686c1ab835c7bc1df3f020003a5bb0dc3cdb7845.wav,02815ebf8486d2789f13c835686c1ab835c7bc1df3f020003a5bb0dc3cdb7845,wavefake_ajay,unknown,WF6,wavefake::LJ028-0170,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02815ebf8486d2789f13c835686c1ab835c7bc1df3f020003a5bb0dc3cdb7845.wav,02815ebf8486d2789f13c835686c1ab835c7bc1df3f020003a5bb0dc3cdb7845,wavefake_ajay,unknown,WF1,wavefake::LJ028-0170,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\028856ae012f90a830a576a1679326b651b076376c25e0633c203c58c4c8d6e3.wav,028856ae012f90a830a576a1679326b651b076376c25e0633c203c58c4c8d6e3,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::04,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0292b39c513fc892e54cbc1bc4519b7b9ad3b2c161899942b35b01b68d97a21d.mp3,0292b39c513fc892e54cbc1bc4519b7b9ad3b2c161899942b35b01b68d97a21d,sonics_official,CC BY-NC 4.0,SONICS::udio-120s,sonics::62,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02964d35a107eeb56f64c6bd7bcc45d5433e611e88909b3a9da4006aa0dd0fda.mp3,02964d35a107eeb56f64c6bd7bcc45d5433e611e88909b3a9da4006aa0dd0fda,mtg_jamendo_cc,http://creativecommons.org/licenses/by/2.0/de/,mtg_jamendo_cc::real,jamendo::artist::b463cddcbf74134d,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\029fbf9dc236ffd13e837eed40357e0bbdaaa3105d3697f014a3e21c721d4ca1.mp3,029fbf9dc236ffd13e837eed40357e0bbdaaa3105d3697f014a3e21c721d4ca1,sonics_official,CC BY-NC 4.0,SONICS::udio-120s,sonics::316,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02bfca583529501a2c5d14bf35c207cc21ac7abd81e6adaa5762c345316fdd30.flac,02bfca583529501a2c5d14bf35c207cc21ac7abd81e6adaa5762c345316fdd30,asvspoof2019,unknown,A01,asvspoof::LA_0090,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02d1aee1a709ca99e31a3234cc6a6f55870cf68e270b531f1fc595468ed187b4.flac,02d1aee1a709ca99e31a3234cc6a6f55870cf68e270b531f1fc595468ed187b4,librispeech_dev,unknown,LibriSpeech,libri::5338,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02e815a069462ad9018909a69ad67934f6004b0d1b9374e0096842826e423788.mp3,02e815a069462ad9018909a69ad67934f6004b0d1b9374e0096842826e423788,sonics_official,CC BY-NC 4.0,SONICS::udio-120s,sonics::237,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02ec08f48ec9d717f494493a3b098fa2c723c15288d59e1faf6c3c1f78db6e2f.mp3,02ec08f48ec9d717f494493a3b098fa2c723c15288d59e1faf6c3c1f78db6e2f,sonics_official,CC BY-NC 4.0,SONICS::chirp-v3,sonics::9946,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02f2df18499278f06381710ea3e73ead196801c1dc2f2b9a677532fd27b8aedd.wav,02f2df18499278f06381710ea3e73ead196801c1dc2f2b9a677532fd27b8aedd,wavefake_ajay,unknown,WF2,wavefake::LJ016-0430,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\02fa4e4d3d42a7469ea34f5f95582dc66e17285a3b46e117aca5870c401717d3.wav,02fa4e4d3d42a7469ea34f5f95582dc66e17285a3b46e117aca5870c401717d3,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::02,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\03004020bbfea35d518742a621e30c00f753f5f033d199b2f75d43eaf459fa56.wav,03004020bbfea35d518742a621e30c00f753f5f033d199b2f75d43eaf459fa56,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::05,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\034c96692421df54309b8428fa49755572c60629d7349d88933bba004efda9bd.flac,034c96692421df54309b8428fa49755572c60629d7349d88933bba004efda9bd,asvspoof2019,unknown,A02,asvspoof::LA_0081,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\035cb6df3445d1ecdbfd24957fb075ab986f0e6fd16c3dd859b0874b9137c9ce.wav,035cb6df3445d1ecdbfd24957fb075ab986f0e6fd16c3dd859b0874b9137c9ce,fake_music_generated,unknown,MusicGen,generated_music::fake_music_generator_0238,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0384db19238e72f9cafabf7d434b1b0d03c65d1ef4a4caf2a6c53f95fe832aa3.wav,0384db19238e72f9cafabf7d434b1b0d03c65d1ef4a4caf2a6c53f95fe832aa3,gtzan_real_v2,unknown,GTZAN_genre_1,gtzan::gtzan_v2_classical.00015,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\038fda8a1021d52f728adcaeb19b00572b6215af34b9db63c2ea7dc9c1c9efdb.flac,038fda8a1021d52f728adcaeb19b00572b6215af34b9db63c2ea7dc9c1c9efdb,asvspoof2019,unknown,A02,asvspoof::LA_0087,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\03a7d88511d7a51ce9cc483b6b74fc486a9617d56d17a5aad55177915378b2e5.wav,03a7d88511d7a51ce9cc483b6b74fc486a9617d56d17a5aad55177915378b2e5,gtzan_real_v2,unknown,GTZAN_genre_2,gtzan::gtzan_v2_country.00037,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\03ad88d5735c6dc4cbb454931fc6d9149f094cf1a26c49c1addcc6291575e095.mp3,03ad88d5735c6dc4cbb454931fc6d9149f094cf1a26c49c1addcc6291575e095,sonics_official,CC BY-NC 4.0,SONICS::chirp-v3.5,sonics::340,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04128e3229e8249a490cb6e8cb4c156545ec64429f36844318563e038efc7cc1.mp3,04128e3229e8249a490cb6e8cb4c156545ec64429f36844318563e038efc7cc1,echoes_fma_paired,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,Echoes::suno,echoes_fma::118055,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\041c28c1f4a7adbd36ffa561f9a82fa8d9d8bb876a1c38cc2ae999d3e2181240.wav,041c28c1f4a7adbd36ffa561f9a82fa8d9d8bb876a1c38cc2ae999d3e2181240,gtzan_real_v2,unknown,GTZAN_genre_8,gtzan::gtzan_v2_reggae.00059,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\042013c3f4bb5e3126c82f6753fd38b7259a240f16bfc50c2f4f115a624a6670.wav,042013c3f4bb5e3126c82f6753fd38b7259a240f16bfc50c2f4f115a624a6670,gtzan_real_v2,unknown,GTZAN_genre_3,gtzan::gtzan_v2_disco.00038,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\045c1127699b0edab97512fa2d000cc80246877feea35ea4b8be8009860ddb90.wav,045c1127699b0edab97512fa2d000cc80246877feea35ea4b8be8009860ddb90,gtzan_real_v2,unknown,GTZAN_genre_5,gtzan::gtzan_v2_jazz.00015,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\047377a0009b54afacce08d1584e71d3b34394a69c765ba78a604a18752d3a4c.flac,047377a0009b54afacce08d1584e71d3b34394a69c765ba78a604a18752d3a4c,asvspoof2019,unknown,bonafide,asvspoof::LA_0092,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0499a36847ede38ff76dc540d9904e4070859a9f7352b4b3fb9c342e2418d8a5.wav,0499a36847ede38ff76dc540d9904e4070859a9f7352b4b3fb9c342e2418d8a5,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::01,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04b39d3fb85a18db188fe49d227e047c0b5711dcf6d8a368eaa2b28a0185050a.wav,04b39d3fb85a18db188fe49d227e047c0b5711dcf6d8a368eaa2b28a0185050a,gtzan_real_v2,unknown,GTZAN_genre_4,gtzan::gtzan_v2_hiphop.00023,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04c32ba5163dd43a5cabbe4cc428dabba054d259bfabb2d374411e94ac0e639a.mp3,04c32ba5163dd43a5cabbe4cc428dabba054d259bfabb2d374411e94ac0e639a,mtg_jamendo_cc,http://creativecommons.org/licenses/by-nc-sa/3.0/,mtg_jamendo_cc::real,jamendo::artist::c33f8dd3f17fe3d7,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04cec7a587adf0e0586929e488e8a57657181009d169bc210d33d6bc995b0b71.wav,04cec7a587adf0e0586929e488e8a57657181009d169bc210d33d6bc995b0b71,wavefake_ajay,unknown,WF6,wavefake::LJ050-0263,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04d0a8259af1dfa04d9f35f00ee3e34751fe5fcaa3d2dd6610814af3de738135.flac,04d0a8259af1dfa04d9f35f00ee3e34751fe5fcaa3d2dd6610814af3de738135,librispeech_dev,unknown,LibriSpeech,libri::8297,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04d5b169428679ecb7923fda93344c69484002801a4284627604ef7999c6d190.mp3,04d5b169428679ecb7923fda93344c69484002801a4284627604ef7999c6d190,mtg_jamendo_cc,http://creativecommons.org/licenses/by-nc-sa/3.0/,mtg_jamendo_cc::real,jamendo::artist::8aed5bf2e5601a06,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\04e5b5e2e1a8f158b33da99bdcd9c86092f3b44fce0501240beb50c2f243111b.wav,04e5b5e2e1a8f158b33da99bdcd9c86092f3b44fce0501240beb50c2f243111b,fake_music_generated,unknown,MusicGen,generated_music::fake_music_generator_0016,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\050088798159c9f61eb8eb0a4f79da5216894e8628d889b4dae7f7f66293aaf5.wav,050088798159c9f61eb8eb0a4f79da5216894e8628d889b4dae7f7f66293aaf5,gtzan_real_v2,unknown,GTZAN_genre_6,gtzan::gtzan_v2_metal.00025,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0502c7bd92fe456b74c39cc9d03d7ac25f744b6296615e6d34c501a23a711708.flac,0502c7bd92fe456b74c39cc9d03d7ac25f744b6296615e6d34c501a23a711708,librispeech_dev,unknown,LibriSpeech,libri::2078,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\051334190a0f57bc6004e9ad8cad00e2e7e3694a88d09f76077436c11d6a53b3.wav,051334190a0f57bc6004e9ad8cad00e2e7e3694a88d09f76077436c11d6a53b3,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::04,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\052c25a49deb385d8a2cbc5a1834aad079eed0fd3686c6e83ceea561674286d9.wav,052c25a49deb385d8a2cbc5a1834aad079eed0fd3686c6e83ceea561674286d9,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::01,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\052f073c0d370bf38c4ac0bcfd6b277f63aad01dfa11554d53285144f24e453b.wav,052f073c0d370bf38c4ac0bcfd6b277f63aad01dfa11554d53285144f24e453b,gtzan_real_v2,unknown,GTZAN_genre_6,gtzan::gtzan_v2_metal.00011,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0545a292481f3aa786a4079b385a5ca2688603ec51b3be68d0ccf5111c375ff5.flac,0545a292481f3aa786a4079b385a5ca2688603ec51b3be68d0ccf5111c375ff5,asvspoof2019,unknown,A02,asvspoof::LA_0096,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0549a6d1b2abd9eb34185ec37c5df1572c5df4e7f09facd385e03b6ce39b95c5.wav,0549a6d1b2abd9eb34185ec37c5df1572c5df4e7f09facd385e03b6ce39b95c5,gtzan_real_v2,unknown,GTZAN_genre_9,gtzan::gtzan_v2_rock.00087,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\057fd26f4afd487c8248ad6c3bdcfd4e217345423ad0365d9d5de1b89b2e7918.wav,057fd26f4afd487c8248ad6c3bdcfd4e217345423ad0365d9d5de1b89b2e7918,gtzan_real_v2,unknown,GTZAN_genre_2,gtzan::gtzan_v2_country.00041,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\059c91eb10dc783281bc837bbe152134ba65910fa246ee872d3ac484d8861ba8.flac,059c91eb10dc783281bc837bbe152134ba65910fa246ee872d3ac484d8861ba8,librispeech_dev,unknown,LibriSpeech,libri::3853,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\05ae8e5c72d5fe47c0159f83ce302cc03a0e65d58226dd769cebda90a5090363.flac,05ae8e5c72d5fe47c0159f83ce302cc03a0e65d58226dd769cebda90a5090363,asvspoof2019,unknown,bonafide,asvspoof::LA_0080,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\05b9a3ddd1ba2e9bb1a38b213018e0359b833638b81c628371fec9d5ccec0647.mp3,05b9a3ddd1ba2e9bb1a38b213018e0359b833638b81c628371fec9d5ccec0647,echoes_fma_paired,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,Echoes::producer,echoes_fma::135341,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\05ded9aed5e5b1365f48eee4486fc4015a4b19ada80058f69f7d4e066f303935.flac,05ded9aed5e5b1365f48eee4486fc4015a4b19ada80058f69f7d4e066f303935,asvspoof2019,unknown,bonafide,asvspoof::LA_0089,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\05ec03ac7aa1ddb713913a53a6984cf3749924dc3d7246a2c92f8e5804be1455.wav,05ec03ac7aa1ddb713913a53a6984cf3749924dc3d7246a2c92f8e5804be1455,wavefake_ajay,unknown,WF1,wavefake::LJ044-0089,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0604083f81f6a14b48ae9df8e27910f0f20a41576bc832da46cbcc311e77320d.flac,0604083f81f6a14b48ae9df8e27910f0f20a41576bc832da46cbcc311e77320d,asvspoof2019,unknown,A02,asvspoof::LA_0089,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\060c3618fc05605a6334c19d1cd7ad1c480af8db122c0c127a99fd7cdd9c13d9.wav,060c3618fc05605a6334c19d1cd7ad1c480af8db122c0c127a99fd7cdd9c13d9,wavefake_ajay,unknown,WF4,wavefake::LJ009-0272,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0670c80a597564341d18b9e124a2b8cdba6ccadf90a02f7aea183405aa675d32.wav,0670c80a597564341d18b9e124a2b8cdba6ccadf90a02f7aea183405aa675d32,mlaad_tiny_matched,CC BY-NC 4.0,MLAAD::Qwen2.5-Omni,mlaad_tiny::en::hunters_space_02_f000032,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06784ace6d453810d887709c8ff4e96bd6ecbe6a4da04d419b2f51a4cdbb49bf.wav,06784ace6d453810d887709c8ff4e96bd6ecbe6a4da04d419b2f51a4cdbb49bf,gtzan_real_v2,unknown,GTZAN_genre_3,gtzan::gtzan_v2_disco.00027,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0693686796c26ea64a10367fc0f720607752a56c511fe683cf28249d96fe512a.mp3,0693686796c26ea64a10367fc0f720607752a56c511fe683cf28249d96fe512a,sonics_official,CC BY-NC 4.0,SONICS::udio-120s,sonics::50,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06a01d0db47078e587b29399c5445e7cbd90665a1da278cb0614f28523e2fe01.wav,06a01d0db47078e587b29399c5445e7cbd90665a1da278cb0614f28523e2fe01,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::05,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06a9c1d89da906c9419d32ab6822b1dd15f119388839e37dc773c01eda1da0e4.wav,06a9c1d89da906c9419d32ab6822b1dd15f119388839e37dc773c01eda1da0e4,mlaad_tiny_matched,M-AILABS original corpus license (see MLAAD LICENSE),MLAAD_original,mlaad_tiny::en::dorothy_and_wizard_oz_11_f000097,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06b8d2075489e727e947c2e264a3085dec5a9ff1ab18caecaae98aa4214565dc.flac,06b8d2075489e727e947c2e264a3085dec5a9ff1ab18caecaae98aa4214565dc,librispeech_dev,unknown,LibriSpeech,libri::6345,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06d2b0c4aa94883b65c1f448f2dea0718a51d7f53b495ea54f8655749342d18f.flac,06d2b0c4aa94883b65c1f448f2dea0718a51d7f53b495ea54f8655749342d18f,asvspoof2019,unknown,A02,asvspoof::LA_0080,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\06e48d8e66cde51a3c5a27f4f79e93a5229786dbea1a2e906017a3f80186d778.wav,06e48d8e66cde51a3c5a27f4f79e93a5229786dbea1a2e906017a3f80186d778,wavefake_ajay,unknown,WF3,wavefake::LJ048-0143,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0714b525e1983041c092fac8f33b4456af838eb420fefb895ed8cdef004730eb.mp3,0714b525e1983041c092fac8f33b4456af838eb420fefb895ed8cdef004730eb,mtg_jamendo_cc,http://creativecommons.org/licenses/by-sa/3.0/,mtg_jamendo_cc::real,jamendo::artist::492474b673b068c4,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07521d9184f2f7f9a99368da2a9d78769fd2a755e96394094b237258dea1ef81.flac,07521d9184f2f7f9a99368da2a9d78769fd2a755e96394094b237258dea1ef81,asvspoof2019,unknown,A02,asvspoof::LA_0095,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\075d2078d9f717c9ef450b4c144c445f5c40d4efd45cecf32cdf14080f659d77.flac,075d2078d9f717c9ef450b4c144c445f5c40d4efd45cecf32cdf14080f659d77,asvspoof2019,unknown,A01,asvspoof::LA_0080,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\076b239be476007de0341899294c5d47c614c0e816e914f3096eb9cbf3f698f5.flac,076b239be476007de0341899294c5d47c614c0e816e914f3096eb9cbf3f698f5,asvspoof2019,unknown,A01,asvspoof::LA_0090,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07ac0bddb100f3ddf060117ee7b141f35acaa99d91365ec5439081303755eed7.wav,07ac0bddb100f3ddf060117ee7b141f35acaa99d91365ec5439081303755eed7,wavefake_ajay,unknown,R,wavefake::LJ043-0030,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07c26f98bf3465924a1d7d26884b4edfd0c77279ea96599d6e812a366b43fd7e.flac,07c26f98bf3465924a1d7d26884b4edfd0c77279ea96599d6e812a366b43fd7e,librispeech_dev,unknown,LibriSpeech,libri::84,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07c7de63ec0b87f85e53dfbc00e12dd0f2a93a37cc6eee97f4c0700d1f3685f1.wav,07c7de63ec0b87f85e53dfbc00e12dd0f2a93a37cc6eee97f4c0700d1f3685f1,mlaad_tiny_matched,CC BY-NC 4.0,MLAAD::FireRedTTS-2.0,mlaad_tiny::en::jane_eyre_02_f000105,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07dafa64c24e9f3b1fced4729f31ecefc5cdc0c03b54877ed79e8767d3bdaa1b.flac,07dafa64c24e9f3b1fced4729f31ecefc5cdc0c03b54877ed79e8767d3bdaa1b,librispeech_dev,unknown,LibriSpeech,libri::1673,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\07ef5b704e9c23d438391b3e756e600c95b592061d7e090bc730b8c8bd58efd5.wav,07ef5b704e9c23d438391b3e756e600c95b592061d7e090bc730b8c8bd58efd5,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::05,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\080134338b6ba8f088e9eeef533791da2172aeca0dc59d4e6cfc641222b806c8.wav,080134338b6ba8f088e9eeef533791da2172aeca0dc59d4e6cfc641222b806c8,gtzan_real_v2,unknown,GTZAN_genre_9,gtzan::gtzan_v2_rock.00020,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0816ee07785c85bdbe94f545f0c18747c295691b51c8e4f32f5985a15007474b.wav,0816ee07785c85bdbe94f545f0c18747c295691b51c8e4f32f5985a15007474b,gtzan_real_v2,unknown,GTZAN_genre_2,gtzan::gtzan_v2_country.00078,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\081f8aed018bb8324cf490f95df9efbeab37e002d81b4400a66e3166c4b6c21c.flac,081f8aed018bb8324cf490f95df9efbeab37e002d81b4400a66e3166c4b6c21c,librispeech_dev,unknown,LibriSpeech,libri::652,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\088c1afa042e7b860228b1a74015cdd7f6bb59c44cc25e8cc70c17047c32a802.wav,088c1afa042e7b860228b1a74015cdd7f6bb59c44cc25e8cc70c17047c32a802,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::03,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\08a7dca4ed0337f008511ea6f7ad54bf4357b8e738cc3d7abc12f07494f9b5e0.mp3,08a7dca4ed0337f008511ea6f7ad54bf4357b8e738cc3d7abc12f07494f9b5e0,sonics_official,CC BY-NC 4.0,SONICS::chirp-v3.5,sonics::388,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\08df5e87b8450b2cd49a9cc9111f2b0f572cee5b0871333db38912f2699f91c8.wav,08df5e87b8450b2cd49a9cc9111f2b0f572cee5b0871333db38912f2699f91c8,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::03,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\08ef920b22c6fdee2730c75fb0437c3b0ddffccbd509199335a2764dfd070cd6.wav,08ef920b22c6fdee2730c75fb0437c3b0ddffccbd509199335a2764dfd070cd6,gtzan_real_v2,unknown,GTZAN_genre_1,gtzan::gtzan_v2_classical.00096,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\090090fcf6f569ca5c7408286d4b0b4519a502930230f06a31c9f8d388c0dc44.wav,090090fcf6f569ca5c7408286d4b0b4519a502930230f06a31c9f8d388c0dc44,wavefake_ajay,unknown,WF5,wavefake::LJ028-0143,v12_student_train
