path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,base_voice_id,base_music_id,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction,mix_snr_db,v13_role,source_path,sha256,competition_use_status,generator_version,language,speaker,track,content_group,split_group,augmentation,seed
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\8b62287436a0966de76ff489f952159170bc703efe96fa18b2a21035053a38b3.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_06,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_06_f000068,mlaad_tiny::en::dorothy_and_wizard_oz_06_f000068,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8b62287436a0966de76ff489f952159170bc703efe96fa18b2a21035053a38b3,mlaad_tiny::en::dorothy_and_wizard_oz_06_f000068,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\dorothy_and_wizard_oz_06_f000068.wav,8b62287436a0966de76ff489f952159170bc703efe96fa18b2a21035053a38b3,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_06,dorothy_and_wizard_oz_06_f000068,dorothy_and_wizard_oz_06_f000068,mlaad_tiny::en::dorothy_and_wizard_oz_06_f000068,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\3df57f3240ba03d7fa08de42359e550451d3e417faf94d152a136f60e1c153e8.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_10,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_10_f000004,mlaad_tiny::en::dorothy_and_wizard_oz_10_f000004,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,3df57f3240ba03d7fa08de42359e550451d3e417faf94d152a136f60e1c153e8,mlaad_tiny::en::dorothy_and_wizard_oz_10_f000004,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\dorothy_and_wizard_oz_10_f000004.wav,3df57f3240ba03d7fa08de42359e550451d3e417faf94d152a136f60e1c153e8,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_10,dorothy_and_wizard_oz_10_f000004,dorothy_and_wizard_oz_10_f000004,mlaad_tiny::en::dorothy_and_wizard_oz_10_f000004,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\72f6aa1b1e8517a5f5595c72726b8530659685d7df219bbe07aada915e456c0e.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_14,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000043,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,72f6aa1b1e8517a5f5595c72726b8530659685d7df219bbe07aada915e456c0e,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\dorothy_and_wizard_oz_14_f000043.wav,72f6aa1b1e8517a5f5595c72726b8530659685d7df219bbe07aada915e456c0e,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_14,dorothy_and_wizard_oz_14_f000043,dorothy_and_wizard_oz_14_f000043,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\34b3482364208305f862027cabfb1a9bc004371b70b066afeff31ca25c051f29.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_25,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_25_f000012,mlaad_tiny::en::emerald_city_of_oz_25_f000012,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,34b3482364208305f862027cabfb1a9bc004371b70b066afeff31ca25c051f29,mlaad_tiny::en::emerald_city_of_oz_25_f000012,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\emerald_city_of_oz_25_f000012.wav,34b3482364208305f862027cabfb1a9bc004371b70b066afeff31ca25c051f29,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::emerald_city_of_oz_25,emerald_city_of_oz_25_f000012,emerald_city_of_oz_25_f000012,mlaad_tiny::en::emerald_city_of_oz_25_f000012,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\197cd6c10e69a4ba5b365b88d6c05d4937cb77a38597fd4de0097eff44c83ad2.wav,1,1,0,1,0,mlaad::hunters_space_05,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_05_f000015,mlaad_tiny::en::hunters_space_05_f000015,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,197cd6c10e69a4ba5b365b88d6c05d4937cb77a38597fd4de0097eff44c83ad2,mlaad_tiny::en::hunters_space_05_f000015,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_05_f000015.wav,197cd6c10e69a4ba5b365b88d6c05d4937cb77a38597fd4de0097eff44c83ad2,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::hunters_space_05,hunters_space_05_f000015,hunters_space_05_f000015,mlaad_tiny::en::hunters_space_05_f000015,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\3741609df7e0595ed770ccad4f9a55be8c9f01bb2c29e890d93009c0d7afd9f1.wav,1,1,0,1,0,mlaad::hunters_space_06,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_06_f000023,mlaad_tiny::en::hunters_space_06_f000023,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,3741609df7e0595ed770ccad4f9a55be8c9f01bb2c29e890d93009c0d7afd9f1,mlaad_tiny::en::hunters_space_06_f000023,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_06_f000023.wav,3741609df7e0595ed770ccad4f9a55be8c9f01bb2c29e890d93009c0d7afd9f1,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::hunters_space_06,hunters_space_06_f000023,hunters_space_06_f000023,mlaad_tiny::en::hunters_space_06_f000023,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\0fb918b2424050c9a40db6be833d448bd4fd154fbde99933f0537e0d380986eb.wav,1,1,0,1,0,mlaad::hunters_space_15,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_15_f000040,mlaad_tiny::en::hunters_space_15_f000040,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,0fb918b2424050c9a40db6be833d448bd4fd154fbde99933f0537e0d380986eb,mlaad_tiny::en::hunters_space_15_f000040,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_15_f000040.wav,0fb918b2424050c9a40db6be833d448bd4fd154fbde99933f0537e0d380986eb,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::hunters_space_15,hunters_space_15_f000040,hunters_space_15_f000040,mlaad_tiny::en::hunters_space_15_f000040,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\a3238c9ee6f5d956b646f049457508d5f44aee1a6defa508b9ac5a8456c21fd9.wav,1,1,0,1,0,mlaad::hunters_space_19,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_19_f000016,mlaad_tiny::en::hunters_space_19_f000016,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,a3238c9ee6f5d956b646f049457508d5f44aee1a6defa508b9ac5a8456c21fd9,mlaad_tiny::en::hunters_space_19_f000016,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_19_f000016.wav,a3238c9ee6f5d956b646f049457508d5f44aee1a6defa508b9ac5a8456c21fd9,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::hunters_space_19,hunters_space_19_f000016,hunters_space_19_f000016,mlaad_tiny::en::hunters_space_19_f000016,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\5426839d27e632bff6ddc88b2389a55a220d31bb4fa03cf48bc8e3e6b3c5601b.wav,1,1,0,1,0,mlaad::jane_eyre_09,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_09_f000010,mlaad_tiny::en::jane_eyre_09_f000010,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,5426839d27e632bff6ddc88b2389a55a220d31bb4fa03cf48bc8e3e6b3c5601b,mlaad_tiny::en::jane_eyre_09_f000010,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\jane_eyre_09_f000010.wav,5426839d27e632bff6ddc88b2389a55a220d31bb4fa03cf48bc8e3e6b3c5601b,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::jane_eyre_09,jane_eyre_09_f000010,jane_eyre_09_f000010,mlaad_tiny::en::jane_eyre_09_f000010,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\210793044f7e3dfec69abb1afde71318cff62f298bb10bb89b823a37822f776d.wav,1,1,0,1,0,mlaad::jane_eyre_12,MLAAD::f5-tts,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_12_f000178,mlaad_tiny::en::jane_eyre_12_f000178,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,210793044f7e3dfec69abb1afde71318cff62f298bb10bb89b823a37822f776d,mlaad_tiny::en::jane_eyre_12_f000178,train,not_applicable,not_applicable,,,MLAAD::f5-tts,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\jane_eyre_12_f000178.wav,210793044f7e3dfec69abb1afde71318cff62f298bb10bb89b823a37822f776d,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::jane_eyre_12,jane_eyre_12_f000178,jane_eyre_12_f000178,mlaad_tiny::en::jane_eyre_12_f000178,none,-1
