path,source,generator,calibration_fold,voice_present,music_present,vp_panns_16k,mp_panns_16k,vp_panns_legacy,mp_panns_legacy,vp_model,mp_model
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0031.wav,wavefake_ajay,WF4,cal_a,1,0,0.7997974753379822,0.04024709761142731,0.5024785995483398,0.5047724843025208,0.954927921295166,0.1177599877119064
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0343.wav|data/raw/gtzan_unique_v2/metal.00086.wav,split_internal_mix,mix::WF7::GTZAN_genre_6,cal_b,1,1,0.28008732199668884,0.5535455346107483,0.5014737248420715,0.5027278065681458,0.890495240688324,0.7098175883293152
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043_WF7_2.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0223.wav,split_internal_mix,mix::WF7::AudioLDM2,cal_a,1,1,0.8293589353561401,0.023783840239048004,0.5029190182685852,0.5053945779800415,0.963064193725586,0.13241907954216
data/raw/gtzan_unique_v2/reggae.00013.wav,gtzan_real_v2,GTZAN_genre_8,cal_a,0,1,0.026833442971110344,0.7944815158843994,0.5013943314552307,0.5024471282958984,0.8482292294502258,0.9981089234352112
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0113.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0043.wav,split_internal_mix,mix::WF2::AudioLDM2,cal_a,1,1,0.16784247756004333,0.04050320386886597,0.5031157732009888,0.5048890113830566,0.8055160045623779,0.9991707801818848
data/raw/gtzan_unique_v2/pop.00011.wav,gtzan_real_v2,GTZAN_genre_7,cal_b,0,1,0.01688413880765438,0.7986354827880859,0.5013999938964844,0.5024465918540955,0.796347439289093,0.999999701976776
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0043.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0147.wav,split_internal_mix,mix::WF2::AudioLDM2,cal_a,1,1,0.32134273648262024,0.0643850639462471,0.5012785196304321,0.5020211935043335,0.6970065832138062,0.9996310472488404
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0014.flac,librispeech_dev,LibriSpeech,cal_b,1,0,0.8458963632583618,0.02378986030817032,0.5032555460929871,0.5061410665512085,0.956064760684967,0.0762681514024734
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/jazz.00091.wav,split_internal_mix,mix::R::GTZAN_genre_5,cal_a,1,1,0.3613092005252838,0.7015312314033508,0.5012640953063965,0.5024083256721497,0.6468400359153748,0.9999999403953552
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ045-0176.wav|data/raw/gtzan_unique_v2/pop.00020.wav,split_internal_mix,mix::WF3::GTZAN_genre_7,cal_c,1,1,0.29368698596954346,0.5522370338439941,0.5014050602912903,0.5026114583015442,0.898911714553833,0.7032988667488098
data\raw\fake_music_generated\fake_music_MusicGen_0082.wav,fake_music_generated,MusicGen,cal_c,0,1,0.015020595863461494,0.04116196185350418,0.50162273645401,0.5022554993629456,0.6667109727859497,0.9998953342437744
data/raw/gtzan_unique_v2/disco.00093.wav,gtzan_real_v2,GTZAN_genre_3,cal_c,0,1,0.024465173482894897,0.8692348003387451,0.5012006163597107,0.5022462010383606,0.7896440625190735,0.9999942779541016
data\raw\fake_music_generated\fake_music_MusicGen_0104.wav,fake_music_generated,MusicGen,cal_b,0,1,0.012879451736807823,0.018514998257160187,0.5013971924781799,0.5020313858985901,0.6642419099807739,0.999964952468872
data/raw/gtzan_unique_v2/country.00036.wav,gtzan_real_v2,GTZAN_genre_2,cal_b,0,1,0.1601259559392929,0.7893136143684387,0.502173900604248,0.503613293170929,0.8622932434082031,0.9999893307685852
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043.wav|data/raw/gtzan_unique_v2/pop.00013.wav,split_internal_mix,mix::WF5::GTZAN_genre_7,cal_a,1,1,0.28634387254714966,0.5441057682037354,0.5027318000793457,0.505048930644989,0.8608136177062988,0.7125063538551331
data\raw\fake_music_generated\fake_music_AudioLDM2_0167.wav,fake_music_generated,AudioLDM2,cal_a,0,1,0.013555165380239487,0.011500298045575619,0.5011563301086426,0.5019202828407288,0.6698628067970276,0.9999728202819824
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0320.wav|data/raw/gtzan_unique_v2/reggae.00019.wav,split_internal_mix,mix::WF7::GTZAN_genre_8,cal_a,1,1,0.02785174362361431,0.8824755549430847,0.5015363097190857,0.5027549266815186,0.817192018032074,0.9998294711112976
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0306.wav,wavefake_ajay,WF7,cal_b,1,0,0.7782099843025208,0.03458378091454506,0.5024069547653198,0.5048280954360962,0.9515224695205688,0.159717708826065
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3103059.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0241.wav,split_internal_mix,mix::A01::AudioLDM2,cal_b,1,1,0.7428301572799683,0.03066112846136093,0.5027275681495667,0.5042777061462402,0.963339865207672,0.0884886384010315
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_8700513.flac|data/raw/gtzan_unique_v2/disco.00090.wav,split_internal_mix,mix::bonafide::GTZAN_genre_3,cal_b,1,1,0.01849728636443615,0.8661797642707825,0.5008292198181152,0.5014756321907043,0.8498851656913757,0.9999942779541016
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0021.flac|data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,split_internal_mix,mix::LibriSpeech::MusicGen,cal_b,1,1,0.4247121512889862,0.05137954652309418,0.502140462398529,0.5038124322891235,0.8329588174819946,0.679584264755249
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3103059.flac|data/raw/gtzan_unique_v2/jazz.00001.wav,split_internal_mix,mix::A01::GTZAN_genre_5,cal_b,1,1,0.2327767014503479,0.5070866942405701,0.5017405152320862,0.5032718777656555,0.8664194941520691,0.6980328559875488
data/raw/gtzan_unique_v2/blues.00025.wav,gtzan_real_v2,GTZAN_genre_0,cal_c,0,1,0.22918610274791718,0.8392925262451172,0.501893937587738,0.5033542513847351,0.7760448455810547,0.9993513226509094
data/raw/gtzan_unique_v2/pop.00081.wav,gtzan_real_v2,GTZAN_genre_7,cal_c,0,1,0.02062525600194931,0.8338907361030579,0.5010537505149841,0.5018027424812317,0.8241917490959167,0.9999373555183412
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5061056.flac,asvspoof2019,A01,cal_b,1,0,0.797893762588501,0.039393503218889236,0.504445493221283,0.5079047679901123,0.98279470205307,0.0335341989994049
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0014.flac|data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,split_internal_mix,mix::LibriSpeech::MusicGen,cal_b,1,1,0.010341432876884937,0.048614077270030975,0.5010790228843689,0.5016367435455322,0.6713176965713501,0.9997358918190002
data/raw/gtzan_unique_v2/pop.00019.wav,gtzan_real_v2,GTZAN_genre_7,cal_a,0,1,0.024014392867684364,0.8155574798583984,0.5014522075653076,0.502810537815094,0.700293242931366,0.99997216463089
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0103.wav,split_internal_mix,mix::R::AudioLDM2,cal_a,1,1,0.15685757994651794,0.027894752100110054,0.5030653476715088,0.504610538482666,0.827362060546875,0.999154806137085
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0004.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0295.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.6123139262199402,0.04306257516145706,0.5034008026123047,0.5062244534492493,0.9205885529518129,0.9701565504074096
data/raw/gtzan_unique_v2/country.00060.wav,gtzan_real_v2,GTZAN_genre_2,cal_b,0,1,0.026145106181502342,0.8428874015808105,0.5011675357818604,0.5020244121551514,0.7273697853088379,1.0
data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,fake_music_generated,MusicGen,cal_b,0,1,0.01052842102944851,0.0509829968214035,0.5012076497077942,0.5017548203468323,0.6831739544868469,0.9997572302818298
data/raw/gtzan_unique_v2/rock.00076.wav,gtzan_real_v2,GTZAN_genre_9,cal_a,0,1,0.024619361385703087,0.8498983383178711,0.5010557174682617,0.5019156336784363,0.7515397667884827,0.9999985098838806
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0044.wav|data/raw/gtzan_unique_v2/pop.00073.wav,split_internal_mix,mix::WF6::GTZAN_genre_7,cal_c,1,1,0.027665158733725548,0.8138497471809387,0.5009834170341492,0.5019599795341492,0.7845415472984314,0.9999964833259584
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ042-0239.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0011.wav,split_internal_mix,mix::WF7::AudioLDM2,cal_a,1,1,0.40885862708091736,0.04008541256189346,0.5028306841850281,0.5048359632492065,0.8795512914657593,0.5599119067192078
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0063.wav|data/raw/gtzan_unique_v2/disco.00019.wav,split_internal_mix,mix::WF1::GTZAN_genre_3,cal_c,1,1,0.02069658227264881,0.8536181449890137,0.5015704035758972,0.5027167201042175,0.7768653035163879,0.99998277425766
data/raw/gtzan_unique_v2/hiphop.00021.wav,gtzan_real_v2,GTZAN_genre_4,cal_c,0,1,0.03511548414826393,0.829805850982666,0.5014131665229797,0.5026975870132446,0.7050830721855164,0.9999708533287048
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0007.flac,librispeech_dev,LibriSpeech,cal_c,1,0,0.8912255764007568,0.013204878196120262,0.5029535889625549,0.5057480335235596,0.9592375159263612,0.0648945420980453
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0343.wav|data/raw/gtzan_unique_v2/metal.00086.wav,split_internal_mix,mix::WF7::GTZAN_genre_6,cal_b,1,1,0.022159511223435402,0.793864905834198,0.5013524293899536,0.5025797486305237,0.754352331161499,0.999866247177124
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0044_WF3_1.wav|data\raw\fake_music_generated\fake_music_MusicGen_0122.wav,split_internal_mix,mix::WF3::MusicGen,cal_c,1,1,0.29986798763275146,0.0884309634566307,0.50136798620224,0.5018672347068787,0.6751397848129272,0.9988570213317872
data/raw/gtzan_unique_v2/blues.00062.wav,gtzan_real_v2,GTZAN_genre_0,cal_b,0,1,0.03265802189707756,0.8618924021720886,0.5009991526603699,0.501952588558197,0.7940681576728821,0.999964952468872
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0015.flac|data/raw/gtzan_unique_v2/pop.00054.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_7,cal_c,1,1,0.03046179749071598,0.8035674095153809,0.5010897517204285,0.5021142959594727,0.7904184460639954,0.9995376467704772
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6556926.flac,asvspoof2019,A01,cal_b,1,0,0.7841447591781616,0.03764010965824127,0.5044300556182861,0.5076029896736145,0.9689285159111024,0.0348005071282386
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0029.flac|data/raw/gtzan_unique_v2/metal.00039.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_6,cal_c,1,1,0.28726282715797424,0.5898993611335754,0.5022904872894287,0.5036497116088867,0.8667311668395996,0.6945567727088928
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ030-0001.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0157.wav,split_internal_mix,mix::WF3::AudioLDM2,cal_c,1,1,0.7188957929611206,0.04439067840576172,0.5029313564300537,0.5053079128265381,0.964245855808258,0.0901583135128021
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_8842-304647-0013.flac|data/raw/gtzan_unique_v2/metal.00050.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_6,cal_c,1,1,0.059318993240594864,0.8499693870544434,0.500739574432373,0.5015793442726135,0.8519911766052246,0.9999048113822936
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0269_WF1_1.wav|data/raw/gtzan_unique_v2/rock.00006.wav,split_internal_mix,mix::WF1::GTZAN_genre_9,cal_c,1,1,0.028510278090834618,0.8628480434417725,0.5011292695999146,0.5020266175270081,0.797823429107666,0.9999950528144836
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4944-0066.flac|data/raw/gtzan_unique_v2/country.00036.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_2,cal_b,1,1,0.4063090980052948,0.7766520977020264,0.5020089745521545,0.5032449960708618,0.8592996597290039,0.9973708987236024
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0026.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0175.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.40236616134643555,0.05215853452682495,0.5034934282302856,0.5061334371566772,0.9105930924415588,0.5573092699050903
data/raw/gtzan_unique_v2/disco.00067.wav,gtzan_real_v2,GTZAN_genre_3,cal_b,0,1,0.022411078214645386,0.838668167591095,0.5011253952980042,0.5020005106925964,0.8162137866020203,0.9999933242797852
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170138-0014.flac,librispeech_dev,LibriSpeech,cal_b,1,0,0.7823730111122131,0.018870798870921135,0.5030356049537659,0.5054560303688049,0.9369090795516968,0.1678299158811569
data/raw/gtzan_unique_v2/rock.00086.wav,gtzan_real_v2,GTZAN_genre_9,cal_b,0,1,0.026379957795143127,0.8186197280883789,0.5013108849525452,0.5025249123573303,0.8034964203834534,0.9999114871025084
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0113.wav,wavefake_ajay,WF2,cal_a,1,0,0.7776839733123779,0.019785908982157707,0.5030176043510437,0.5058602690696716,0.9671351313591005,0.0853648111224174
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0411.wav|data/raw/gtzan_unique_v2/reggae.00060.wav,split_internal_mix,mix::WF3::GTZAN_genre_8,cal_b,1,1,0.02858249843120575,0.8670473098754883,0.5010793209075928,0.502051830291748,0.7443225383758545,0.9999375343322754
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0242.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0263.wav,split_internal_mix,mix::WF2::AudioLDM2,cal_c,1,1,0.269747793674469,0.04661683738231659,0.5016436576843262,0.5023256540298462,0.7283221483230591,0.9996240139007568
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ002-0032_WF1_1.wav|data/raw/gtzan_unique_v2/metal.00086.wav,split_internal_mix,mix::WF1::GTZAN_genre_6,cal_b,1,1,0.018562084063887596,0.8090836405754089,0.50101637840271,0.5020434260368347,0.8114233613014221,0.9999939799308776
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_7598099.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0241.wav,split_internal_mix,mix::A01::AudioLDM2,cal_b,1,1,0.3373730480670929,0.08313494175672531,0.5021442174911499,0.5030609369277954,0.8267148733139038,0.9980257749557496
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_8842-304647-0013.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0263.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.48731184005737305,0.2316431701183319,0.5024106502532959,0.5041468739509583,0.8872281312942505,0.9533859491348268
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0187.wav,wavefake_ajay,WF4,cal_a,1,0,0.7923976182937622,0.036862026900053024,0.5027483701705933,0.505416989326477,0.9675558805465698,0.1051466539502143
data/raw/gtzan_unique_v2/jazz.00092.wav,gtzan_real_v2,GTZAN_genre_5,cal_c,0,1,0.01580272801220417,0.7032129764556885,0.5019304752349854,0.5033799409866333,0.6810194849967957,0.999983549118042
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_1462-170142-0024.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0159.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_b,1,1,0.016376426443457603,0.03093249723315239,0.502604603767395,0.5033983588218689,0.7629669308662415,0.9999325275421144
data/raw/gtzan_unique_v2/reggae.00019.wav,gtzan_real_v2,GTZAN_genre_8,cal_a,0,1,0.035129446536302567,0.8784410357475281,0.5014858841896057,0.5027358531951904,0.8141692280769348,0.9997240900993348
data\raw\fake_music_generated\fake_music_AudioLDM2_0067.wav,fake_music_generated,AudioLDM2,cal_c,0,1,0.01595706306397915,0.030899660661816597,0.5012284517288208,0.5019610524177551,0.6840566992759705,0.999935746192932
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/classical.00002.wav,split_internal_mix,mix::R::GTZAN_genre_1,cal_a,1,1,0.017671367153525352,0.6548272967338562,0.5011973977088928,0.5019120573997498,0.7713732719421387,1.0
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4944-0066.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0161.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_b,1,1,0.40342140197753906,0.21253545582294464,0.5019740462303162,0.5032346844673157,0.7754124402999878,0.9985550045967102
data/raw/gtzan_unique_v2/blues.00066.wav,gtzan_real_v2,GTZAN_genre_0,cal_a,0,1,0.024974381551146507,0.8626958727836609,0.5009300112724304,0.5017103552818298,0.7960963249206543,0.9999995231628418
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0039.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0067.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.5009194016456604,0.5401317477226257,0.5036983489990234,0.5066388845443726,0.9383177757263184,0.997546136379242
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_4252818.flac,asvspoof2019,A01,cal_b,1,0,0.6457506418228149,0.04787134379148483,0.5038388967514038,0.5068190097808838,0.964791774749756,0.0522256270051002
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0011.wav,split_internal_mix,mix::R::AudioLDM2,cal_a,1,1,0.24474379420280457,0.05195099115371704,0.5032276511192322,0.5052465200424194,0.8490029573440552,0.9969395399093628
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0015.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0171.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.41762876510620117,0.4733351469039917,0.5025715231895447,0.5042927265167236,0.8726182579994202,0.9662927389144896
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0375.wav|data\raw\fake_music_generated\fake_music_MusicGen_0154.wav,split_internal_mix,mix::R::MusicGen,cal_c,1,1,0.7131145000457764,0.1914743334054947,0.5029792785644531,0.5056483745574951,0.9529160261154176,0.2042067945003509
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/disco.00052.wav,split_internal_mix,mix::R::GTZAN_genre_3,cal_a,1,1,0.26901528239250183,0.586215615272522,0.5014244318008423,0.5026126503944397,0.9052887558937072,0.6966342926025391
data/raw/gtzan_unique_v2/classical.00048.wav,gtzan_real_v2,GTZAN_genre_1,cal_a,0,1,0.020484542474150658,0.6806624531745911,0.5015616416931152,0.5027394890785217,0.6626021862030029,1.0
data/raw/gtzan_unique_v2/classical.00002.wav,gtzan_real_v2,GTZAN_genre_1,cal_a,0,1,0.01886872388422489,0.6414241194725037,0.5009700655937195,0.5019447207450867,0.8197360634803772,0.9999999403953552
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0187.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0043.wav,split_internal_mix,mix::WF4::AudioLDM2,cal_a,1,1,0.8021315932273865,0.03633797541260719,0.5029404759407043,0.5053560733795166,0.9665775299072266,0.0958300083875656
data\raw\fake_music_generated\fake_music_MusicGen_0060.wav,fake_music_generated,MusicGen,cal_a,0,1,0.015348108485341072,0.014637401327490807,0.5012478828430176,0.5021523237228394,0.6569733619689941,0.999305248260498
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ016-0393.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0157.wav,split_internal_mix,mix::WF7::AudioLDM2,cal_c,1,1,0.020109914243221283,0.03501296788454056,0.5029954314231873,0.5044467449188232,0.755052924156189,0.999902606010437
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0190.wav,wavefake_ajay,WF7,cal_a,1,0,0.8195128440856934,0.028374984860420227,0.502896249294281,0.5049242377281189,0.9637998342514038,0.1257071495056152
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0187.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0223.wav,split_internal_mix,mix::WF4::AudioLDM2,cal_a,1,1,0.39616385102272034,0.06874454021453857,0.5019663572311401,0.5028277635574341,0.815471887588501,0.9933100938796996
data/raw/gtzan_unique_v2/pop.00029.wav,gtzan_real_v2,GTZAN_genre_7,cal_c,0,1,0.03861546143889427,0.7903094291687012,0.5012717843055725,0.5023797154426575,0.7095330357551575,0.9999983906745912
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0033.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0175.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.019839176908135414,0.07480303198099136,0.5027262568473816,0.503659725189209,0.7279826402664185,0.9999291896820068
