path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,augment
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0203.wav,1,1,0,1,0,wavefake_ec8f40,WF3,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ029-0203,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_classical_classical.wav,1,0,1,0,1,gtzan_1_81ba,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_classical_classical.00083_fake,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_jazz_jazz.wav,1,0,1,0,1,gtzan_5_7bc9,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_jazz_jazz.00089_fake,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.wav,1,0,1,0,1,gtzan_0_bcc1,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.00067_fake,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.wav,1,0,1,0,1,gtzan_4_7204,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.00035_fake,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0009.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-24615-0009,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0044.wav,1,1,0,1,0,wavefake_04823b,WF6,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ043-0044,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ016-0413.wav,1,1,0,1,0,wavefake_91e8fe,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ016-0413,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0253.wav,1,1,0,1,0,wavefake_b08f5e,WF7,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ008-0253,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0028.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-23268-0028,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_pop_pop.wav,1,0,1,0,1,gtzan_7_ce9b,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_pop_pop.00071_fake,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.wav,1,0,1,0,1,gtzan_2_b700,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.00012_fake,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.wav,0,0,0,0,1,gtzan_9_0903,GTZAN_genre_9,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.00087,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24640-0002.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-24640-0002,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.wav,0,0,0,0,1,gtzan_9_89cd,GTZAN_genre_9,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.00056,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.wav,0,0,0,0,1,gtzan_6_304e,GTZAN_genre_6,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.00019,none
data\raw\openslr_librispeech_asr\librispeech_dev_6345-64257-0013.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-64257-0013,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ009-0006.wav,1,1,0,1,0,wavefake_b8c207,WF3,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ009-0006,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.wav,0,0,0,0,1,gtzan_4_65c8,GTZAN_genre_4,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.00036,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_2690019.flac,1,1,0,1,0,LA_0089,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_2690019,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ027-0125.wav,1,1,0,1,0,wavefake_a0afce,WF1,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ027-0125,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_1686933.flac,1,1,0,1,0,LA_0082,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_1686933,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_reggae_reggae.wav,0,0,0,0,1,gtzan_8_7006,GTZAN_genre_8,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_reggae_reggae.00095,none
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0026.flac,0,0,0,1,0,5338,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5338-284437-0026,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav,1,1,0,1,0,wavefake_30b298,R,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ015-0100,none
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0014.flac,0,0,0,1,0,3536,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3536-8226-0014,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.wav,0,0,0,0,1,gtzan_0_14be,GTZAN_genre_0,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.00058,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0160.wav,1,1,0,1,0,wavefake_d90d4e,WF1,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ029-0160,none
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0003.flac,0,0,0,1,0,2412,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2412-153948-0003,none
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0033.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0033,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3624750.flac,1,1,0,1,0,LA_0082,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_3624750,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0022.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64025-0022,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_8239480.flac,1,1,0,1,0,LA_0091,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_8239480,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.wav,0,0,0,0,1,gtzan_0_d272,GTZAN_genre_0,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.00043,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_4609785.flac,1,1,0,1,0,LA_0081,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_4609785,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0014.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64025-0014,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_7754797.flac,1,1,0,1,0,LA_0081,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_7754797,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.wav,0,0,0,0,1,gtzan_0_21c1,GTZAN_genre_0,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.00079,none
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34615-0005.flac,0,0,0,1,0,5895,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5895-34615-0005,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.wav,0,0,0,0,1,gtzan_6_32a8,GTZAN_genre_6,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.00089,none
data\raw\openslr_librispeech_asr\librispeech_dev_2277-149896-0017.flac,0,0,0,1,0,2277,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2277-149896-0017,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0279.wav,1,1,0,1,0,wavefake_06e920,WF2,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ019-0279,none
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0004.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0004,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0357.wav,1,1,0,1,0,wavefake_6f863f,WF3,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ028-0357,none
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0037.flac,0,0,0,1,0,3576,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3576-138058-0037,none
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0010.flac,0,0,0,1,0,5895,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5895-34629-0010,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0183.wav,1,1,0,1,0,wavefake_6b491b,WF3,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ050-0183,none
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0019.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-136532-0019,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5773803.flac,1,1,0,1,0,LA_0087,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_5773803,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.wav,0,0,0,0,1,gtzan_4_9ce3,GTZAN_genre_4,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.00000,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_7927832.flac,1,1,0,1,0,LA_0084,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_7927832,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.wav,0,0,0,0,1,gtzan_2_eacc,GTZAN_genre_2,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.00001,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0032.wav,1,1,0,1,0,wavefake_d740dd,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ043-0032,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5873461.flac,1,1,0,1,0,LA_0087,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_5873461,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.wav,1,0,1,0,1,gtzan_2_ff4f,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_country_country.00057_fake,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64038-0010.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64038-0010,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9264723.flac,1,1,0,1,0,LA_0081,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_9264723,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.wav,0,0,0,0,1,gtzan_4_0936,GTZAN_genre_4,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_hiphop_hiphop.00017,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_disco_disco.wav,0,0,0,0,1,gtzan_3_d894,GTZAN_genre_3,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_disco_disco.00004,none
data\raw\openslr_librispeech_asr\librispeech_dev_1993-147149-0028.flac,0,0,0,1,0,1993,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1993-147149-0028,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.wav,0,0,0,0,1,gtzan_6_6249,GTZAN_genre_6,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.00031,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.wav,1,0,1,0,1,gtzan_9_128a,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.00084_fake,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0158.wav,1,1,0,1,0,wavefake_d8b4e0,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ028-0158,none
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0010.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64025-0010,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5286676.flac,1,1,0,1,0,LA_0079,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_5286676,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.wav,0,0,0,0,1,gtzan_6_ba26,GTZAN_genre_6,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.00087,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ010-0005.wav,1,1,0,1,0,wavefake_ec1004,WF2,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ010-0005,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9032288.flac,1,1,0,1,0,LA_0079,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_9032288,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6208966.flac,1,1,0,1,0,LA_0091,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_6208966,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.wav,0,0,0,0,1,gtzan_9_28e3,GTZAN_genre_9,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.00033,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9835939.flac,1,1,0,1,0,LA_0080,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_9835939,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0019.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121550-0019,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.wav,0,0,0,0,1,gtzan_9_c95e,GTZAN_genre_9,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_rock_rock.00064,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.wav,1,0,1,0,1,gtzan_6_9374,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_metal_metal.00002_fake,none
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0010.flac,0,0,0,1,0,8297,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_8297-275155-0010,none
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0041.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0041,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0234.wav,1,1,0,1,0,wavefake_8b54e5,WF6,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ008-0234,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.wav,1,0,1,0,1,gtzan_0_3ce6,MusicGen_Sim,gtzan_fake_sim,fakemusic_sim,sim/MusicGen,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_blues_blues.00057_fake,none
