path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,data_role,split,calibration_fold,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns,upstream_label,p_file,p_voice,p_music,p_voice_present,p_music_present,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,upstream_split,voice_domain,voice_language,voice_channel,voice_mixed_music,music_domain,music_generator_family,file_composition,file_state,file_mix_mode,file_partial,duration_bucket,generator_family,file_error,voice_error,music_error
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5305063.flac,1,1,0,1,0,LA_0086,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_5305063,asvspoof::LA_0086,asvspoof::LA_0086,,none,,,,,,,none,val_a,val_a,val_a,1,1,0,1,0,0.9983048945430658,0.9983048945430658,,False,True,2.495875,0.6602193713188171,0.4529466927051544,0.6764346361160278,0.4438220262527466,0.9649447202682496,0.0413249842822551,0.7466444969177246,0.0274883620440959,unknown,0.7421121551356978,0.7616450282860917,0.4529466927051544,0.8012195527553558,0.0309475176036357,,,,,,,,,,,TTS_or_unknown,unknown,clean_or_unknown,voice_only,absent,A02,voice_only,single_fake,none,not_partial_or_unknown,2-5,A02,correct,correct,not_scored
data/raw/gtzan_unique_v2/pop.00085.wav,0,0,0,0,1,gtzan_7_pop.00085,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00085,gtzan::gtzan_v2_pop.00085,,gtzan::gtzan_v2_pop.00085,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.4099777526467158,0.4099777526467158,,False,True,30.0001875,0.721950352191925,0.0004314655670896,0.6937656402587891,0.0004174967180006,0.4226769506931305,0.9985876679420472,0.0268044974654912,0.8316836953163147,unknown,0.33834559548381915,0.6283585723283623,0.0004314655670896,0.12577261077240104,0.8734096884727478,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_7,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_7,correct,not_scored,correct
data\raw\fake_music_generated\fake_music_MusicGen_0252.wav,1,0,1,0,1,fake_music_MusicGen_25,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0252,generated_music::fake_music_generator_0252,,generated_music::fake_music_generator_0252,none,,,,,,,none,val_a,val_a,val_a,1,0,1,0,1,0.9337304047693156,0.9337304047693156,,False,True,5.5714375,0.7370399236679077,0.9999445676803588,0.7276532649993896,0.9999392032623292,0.606592059135437,0.9999662637710572,0.017866501584649,0.0270822253078222,unknown,0.983405562821658,0.79604706799833,0.9999445676803588,0.165047890972346,0.27030323492363095,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,music_only,single_fake,none,not_partial_or_unknown,5-10,MusicGen,correct,not_scored,correct
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0315.wav|data\raw\fake_music_generated\fake_music_MusicGen_0144.wav,1,1,1,1,1,mix::wavefake_208461::fake_music_MusicGen_14,mix::WF6::MusicGen,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ008-0315::fake_music_MusicGen_0144::11::9,mix::wavefake::LJ008-0315::generated_music::fake_music_generator_0144,wavefake::LJ008-0315,generated_music::fake_music_generator_0144,music_then_voice,10.0,0.75,0.0,0.05,0.0,3.0,none,val_a,val_a,val_a,1,1,1,1,1,0.9882536989817188,0.9882536989817188,,False,True,10.4486875,0.7596993446350098,0.6417607665061951,0.7572770118713379,0.6452458500862122,0.9659870266914368,0.2986418306827545,0.7188553214073181,0.0375554487109184,unknown,0.8409598754381984,0.8282656509390225,0.6417607665061951,0.7806382477283478,0.10282704420387742,,,,,,,,,,,TTS_or_unknown,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,FF,music_then_voice,not_partial_or_unknown,10-20,MusicGen,correct,correct,correct
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0186_WF4_2.wav,1,1,0,1,0,wavefake_6832d3,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ029-0186,wavefake::LJ029-0186,wavefake::LJ029-0186,,none,,,,,,,none,val_a,val_a,val_a,1,1,0,1,0,0.9992723992273423,0.9992723992273423,,False,True,9.41575,0.7909119129180908,0.5765550136566162,0.7913708686828613,0.590275764465332,0.9778472185134888,0.0982581973075866,0.8148535490036011,0.0402699336409568,unknown,0.8228958085331926,0.8534200588108662,0.5765550136566162,0.855601966381073,0.05476699955761426,,,,,,,,,,,TTS_or_unknown,unknown,clean_or_unknown,voice_only,absent,WF4,voice_only,single_fake,none,not_partial_or_unknown,5-10,WF4,correct,correct,not_scored
data/raw/gtzan_unique_v2/jazz.00050.wav,0,0,0,0,1,gtzan_5_jazz.00050,GTZAN_genre_5,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_jazz.00050,gtzan::gtzan_v2_jazz.00050,,gtzan::gtzan_v2_jazz.00050,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.3168275038354201,0.3168275038354201,,False,True,30.3510625,0.723621129989624,8.739984309613646e-07,0.6949236392974854,8.154204351740191e-07,0.3769877254962921,0.9999988675117492,0.0171461813151836,0.7893350720405579,unknown,0.30480095312620276,0.6015830421433628,1e-06,0.10710656736046073,0.8420010209083557,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_5,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_5,correct,not_scored,correct
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ009-0248.wav|data/raw/gtzan_unique_v2/pop.00028.wav,1,1,0,1,1,mix::wavefake_d7d4f1::gtzan_7_pop.00028,mix::WF6::GTZAN_genre_7,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ009-0248::gtzan_v2_pop.00028::10::19,mix::wavefake::LJ009-0248::gtzan::gtzan_v2_pop.00028,wavefake::LJ009-0248,gtzan::gtzan_v2_pop.00028,voice_then_music,15.0,0.1,0.1,0.05,-6.0,-6.0,none,val_a,val_a,val_a,1,1,0,1,1,0.99481531048163,0.99481531048163,,False,True,33.3974375,0.7586202025413513,0.1299332976341247,0.7333821058273315,0.1307040303945541,0.9443941712379456,0.8080740571022034,0.2848579585552215,0.7759130597114563,unknown,0.6170810109727062,0.8294787349234349,0.1299332976341247,0.4497420117259025,0.7839533090591431,,,,,,,,,,,TTS_or_unknown,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_7,voice+music,FR,voice_then_music,not_partial_or_unknown,>20,GTZAN_genre_7,correct,correct,correct
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0045.flac|data\raw\fake_music_generated\fake_music_MusicGen_0144.wav,1,0,1,1,1,mix::777::fake_music_MusicGen_14,mix::LibriSpeech::MusicGen,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_777-126732-0045::fake_music_MusicGen_0144::01::0,mix::libri::777::generated_music::fake_music_generator_0144,libri::777,generated_music::fake_music_generator_0144,voice_then_music,-5.0,0.25,0.1,0.25,-6.0,0.0,none,val_a,val_a,val_a,1,0,1,1,1,0.9027977916325022,0.9027977916325022,,False,True,17.7751875,0.6288683414459229,0.9915564060211182,0.6220499277114868,0.9915440082550048,0.8793795108795166,0.987682044506073,0.283383846282959,0.0299958251416683,unknown,0.9716135258835013,0.7110471765018966,0.9915564060211182,0.4323827624320984,0.2694173799827695,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,RF,voice_then_music,not_partial_or_unknown,10-20,MusicGen,correct,FP,correct
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3000-15664-0007.flac|data/raw/gtzan_unique_v2/country.00069.wav,0,0,0,1,1,mix::3000::gtzan_2_country.00069,mix::LibriSpeech::GTZAN_genre_2,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_3000-15664-0007::gtzan_v2_country.00069::00::16,mix::libri::3000::gtzan::gtzan_v2_country.00069,libri::3000,gtzan::gtzan_v2_country.00069,voice_then_music,-5.0,0.1,0.0,0.05,-6.0,-3.0,none,val_a,val_a,val_a,0,0,0,1,1,0.0594844582840641,0.0594844582840641,,False,True,36.978375,0.6529208421707153,7.91108067943469e-09,0.650553822517395,7.413879288264979e-09,0.6004307270050049,1.0,0.1048288941383361,0.8406544327735901,unknown,0.1929548415358113,0.47488992700471994,1e-06,0.2287293523550033,0.8804908245801926,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_2,voice+music,RR,voice_then_music,not_partial_or_unknown,>20,GTZAN_genre_2,correct,correct,correct
data/raw/gtzan_unique_v2/hiphop.00075.wav,0,0,0,0,1,gtzan_4_hiphop.00075,GTZAN_genre_4,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_hiphop.00075,gtzan::gtzan_v2_hiphop.00075,,gtzan::gtzan_v2_hiphop.00075,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.0459276848725901,0.0459276848725901,,False,True,30.013375,0.6943193674087524,0.0103331515565514,0.677147626876831,0.0101229697465896,0.4925606548786163,0.9471116065979004,0.0336148180067539,0.8502510190010071,unknown,0.204641967051669,0.4998018626479037,0.0103331515565514,0.1483512772247195,0.8744661659002304,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_4,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_4,correct,not_scored,correct
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6013298.flac|data\raw\fake_music_generated\fake_music_MusicGen_0202.wav,1,0,1,1,1,mix::LA_0086::fake_music_MusicGen_20,mix::bonafide::MusicGen,split_internal_mix,mix,generated_after_split,mix::asvspoof2019_LA_T_6013298::fake_music_MusicGen_0202::01::7,mix::asvspoof::LA_0086::generated_music::fake_music_generator_0202,asvspoof::LA_0086,generated_music::fake_music_generator_0202,partial_overlap,-5.0,0.1,0.0,0.1,3.0,-3.0,none,val_a,val_a,val_a,1,0,1,1,1,0.8483300333790792,0.8483300333790792,,False,True,5.7250625,0.7274953126907349,0.9998600482940674,0.7159643173217773,0.9998490810394288,0.5744778513908386,0.999913215637207,0.0115485340356826,0.0180232226848602,unknown,0.9620135146639527,0.7637457288972381,0.9998600482940674,0.1522808633744716,0.26349572092294693,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,RF,partial_overlap,partial_or_crossfade,5-10,MusicGen,correct,FP,correct
data/raw/gtzan_unique_v2/classical.00028.wav,0,0,0,0,1,gtzan_1_classical.00028,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00028,gtzan::gtzan_v2_classical.00028,,gtzan::gtzan_v2_classical.00028,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.2895719049604472,0.2895719049604472,,False,True,30.013375,0.6786895394325256,3.397379799707778e-08,0.6665846705436707,3.2356780366171733e-08,0.5213636159896851,1.0,0.0239008069038391,0.8067057728767395,unknown,0.28312583736377195,0.5619542490909021,1e-06,0.1482665091753006,0.8550293296575546,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_1,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_1,correct,not_scored,correct
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5520907.flac,0,0,0,1,0,LA_0086,bonafide,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_5520907,asvspoof::LA_0086,asvspoof::LA_0086,,none,,,,,,,none,val_a,val_a,val_a,0,0,0,1,0,0.1156856414892511,0.1156856414892511,,False,True,2.5154375,0.6705594062805176,0.4399981498718261,0.6863985061645508,0.4309974312782287,0.9631944894790648,0.0486187450587749,0.7453632950782776,0.0262985154986381,unknown,0.4614055311823576,0.5040972768431375,0.4399981498718261,0.7998210936784744,0.0318785728886723,,,,,,,,,,,real_speech,unknown,clean_or_unknown,voice_only,absent,bonafide,voice_only,single_real,none,not_partial_or_unknown,2-5,bonafide,correct,correct,not_scored
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0039.flac|data/raw/gtzan_unique_v2/jazz.00012.wav,0,0,0,1,1,mix::777::gtzan_5_jazz.00012,mix::LibriSpeech::GTZAN_genre_5,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_777-126732-0039::gtzan_v2_jazz.00012::00::4,mix::libri::777::gtzan::gtzan_v2_jazz.00012,libri::777,gtzan::gtzan_v2_jazz.00012,crossfade,5.0,0.1,0.0,0.05,-6.0,-3.0,none,val_a,val_a,val_a,0,0,0,1,1,0.027658492087362,0.027658492087362,,False,True,32.798375,0.7250065207481384,0.0124059105291962,0.6938537359237671,0.0117138354107737,0.9349126219749452,0.9379752278327942,0.2543493807315826,0.7010912299156189,unknown,0.2069856967352555,0.5158021121499055,0.0124059105291962,0.42449019104242325,0.7603122293949127,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_5,voice+music,RR,crossfade,partial_or_crossfade,>20,GTZAN_genre_5,correct,correct,correct
data\raw\fake_music_generated\fake_music_MusicGen_0296.wav,1,0,1,0,1,fake_music_MusicGen_29,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0296,generated_music::fake_music_generator_0296,,generated_music::fake_music_generator_0296,none,,,,,,,none,val_a,val_a,val_a,1,0,1,0,1,0.959201894596549,0.959201894596549,,False,True,5.8256875,0.7319642901420593,0.9999364614486694,0.721892774105072,0.9999306201934814,0.592555582523346,0.9999648332595824,0.017834760248661,0.0228868573904037,unknown,0.9897696940605988,0.8001355714784062,0.9999364614486694,0.16151496581733224,0.2671563513576984,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,music_only,single_fake,none,not_partial_or_unknown,5-10,MusicGen,correct,not_scored,correct
data/raw/gtzan_unique_v2/reggae.00048.wav,0,0,0,0,1,gtzan_8_reggae.00048,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00048,gtzan::gtzan_v2_reggae.00048,,gtzan::gtzan_v2_reggae.00048,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.1332799454158289,0.1332799454158289,,False,True,30.0001875,0.6874470114707947,5.848473847436253e-06,0.6703031063079834,5.494654942594934e-06,0.4756570756435394,0.99997740983963,0.0178892239928245,0.9066221117973328,unknown,0.2287719313202215,0.5211968916543049,5.848473847436253e-06,0.13233118690550322,0.9299609363079071,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_8,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_8,correct,not_scored,correct
data\raw\fake_music_generated\fake_music_MusicGen_0090.wav,1,0,1,0,1,fake_music_MusicGen_9,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0090,generated_music::fake_music_generator_0090,,generated_music::fake_music_generator_0090,none,,,,,,,none,val_a,val_a,val_a,1,0,1,0,1,0.9289594109216472,0.9289594109216472,,False,True,5.284625,0.7281561493873596,0.9999653100967408,0.7137547135353088,0.9999617338180542,0.5402605533599854,0.9999806880950928,0.0142652951180934,0.0234286561608314,unknown,0.9822227502309955,0.7883971278476458,0.9999653100967408,0.1457641096785664,0.2675666641443967,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,music_only,single_fake,none,not_partial_or_unknown,5-10,MusicGen,correct,not_scored,correct
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_1993-147149-0012.flac|data\raw\fake_music_generated\fake_music_MusicGen_0152.wav,1,0,1,1,1,mix::1993::fake_music_MusicGen_15,mix::LibriSpeech::MusicGen,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_1993-147149-0012::fake_music_MusicGen_0152::01::11,mix::libri::1993::generated_music::fake_music_generator_0152,libri::1993,generated_music::fake_music_generator_0152,music_then_voice,15.0,0.1,0.0,0.1,3.0,-3.0,none,val_a,val_a,val_a,1,0,1,1,1,0.0199795328983112,0.0199795328983112,,False,True,11.228625,0.738798975944519,0.5901403427124023,0.7347427606582642,0.5904451608657837,0.9808940887451172,0.3088265359401703,0.7081400156021118,0.0657503083348274,unknown,0.5281217100332004,0.5231531430306567,0.5901403427124023,0.7763285338878632,0.1265193652361631,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,RF,music_then_voice,not_partial_or_unknown,10-20,MusicGen,correct,correct,correct
